run	filename	url	md5
ERR9119614	ERR9119614_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR911/004/ERR9119614/ERR9119614_1.fastq.gz	d337b12e74aeb8c6e595c19865b99de4
ERR9119614	ERR9119614_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR911/004/ERR9119614/ERR9119614_2.fastq.gz	08f74dacfb7c5363f485d06015adac42
ERR13273273	ERR13273273_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/073/ERR13273273/ERR13273273_1.fastq.gz	b7e45a44513831802022cf2b2e30ab3f
ERR13273273	ERR13273273_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/073/ERR13273273/ERR13273273_2.fastq.gz	a89e55fbc23babe56c5b266f39664617
ERR4797823	ERR4797823_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797823/ERR4797823_1.fastq.gz	035c903653718c52717cbacf2bda6768
ERR4797823	ERR4797823_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797823/ERR4797823_2.fastq.gz	75e3c3f4838a0c7f44819e6353495125
ERR4797483	ERR4797483_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797483/ERR4797483_1.fastq.gz	d2cf7fa201f77f567685f5dda6c6f4f1
ERR4797483	ERR4797483_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797483/ERR4797483_2.fastq.gz	9187b87f384422fa0a3d1e655c0954e1
ERR4799708	ERR4799708_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4799708/ERR4799708_1.fastq.gz	d6b47b2565bf299d6ed56e7a9ca401d9
ERR4799708	ERR4799708_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4799708/ERR4799708_2.fastq.gz	ab0e51b87edd40c9511fe5736604428b
ERR13261328	ERR13261328_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13261328/ERR13261328_1.fastq.gz	317f62fecdad0053bc30b34a31fe45e4
ERR13261328	ERR13261328_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13261328/ERR13261328_2.fastq.gz	efc7fa7fa81af7ea70a2aa63f5a33eca
ERR2510201	ERR2510201_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2510201/ERR2510201_1.fastq.gz	9756365df50a911dfbb61a9f6f87b109
ERR2510201	ERR2510201_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2510201/ERR2510201_2.fastq.gz	fa3df4df658cf3f30e53d8f6be2e37bc
ERR4813445	ERR4813445_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813445/ERR4813445_1.fastq.gz	f57790b511c3dddf4b6d2accdcc70179
ERR4813445	ERR4813445_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813445/ERR4813445_2.fastq.gz	b8aa336ee4694208befcb56d376df6dc
ERR4813681	ERR4813681_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4813681/ERR4813681_1.fastq.gz	9b218d91e73f7416bf21dd7170595fb7
ERR4813681	ERR4813681_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4813681/ERR4813681_2.fastq.gz	1f2958f95c3d894b07841245b0e023bc
ERR3287554	ERR3287554_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/004/ERR3287554/ERR3287554_1.fastq.gz	471bcd39a8c8fb1d02b285f27e9d3326
ERR3287554	ERR3287554_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/004/ERR3287554/ERR3287554_2.fastq.gz	c85becbf32be21cfd0633e3b1afe39af
ERR2510662	ERR2510662_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2510662/ERR2510662_1.fastq.gz	923a6d09b98e741373d9e2f9e853fadf
ERR2510662	ERR2510662_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2510662/ERR2510662_2.fastq.gz	0979884095838e7a96385c62f93a2524
ERR4814489	ERR4814489_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4814489/ERR4814489_1.fastq.gz	074d4fdf05c629960ba23672c0e8f40c
ERR4814489	ERR4814489_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4814489/ERR4814489_2.fastq.gz	32b723c1257046a7fd2cb2a137e0d0cb
ERR4818219	ERR4818219_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4818219/ERR4818219_1.fastq.gz	492f49df9ecb3876d06803f8a5dff359
ERR4818219	ERR4818219_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4818219/ERR4818219_2.fastq.gz	515e7133299810232df27c1b75aa3abb
ERR4818435	ERR4818435_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4818435/ERR4818435_1.fastq.gz	acca9b6204e3603aac70a5619cfdc337
ERR4818435	ERR4818435_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4818435/ERR4818435_2.fastq.gz	e16429bbb91f99d644aff737f4c185a3
ERR4821755	ERR4821755_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4821755/ERR4821755_1.fastq.gz	65b512df4440013b178180a13b246fa4
ERR4821755	ERR4821755_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4821755/ERR4821755_2.fastq.gz	d4cf0af352b9bc54c71e41a75c7fdd00
ERR4821953	ERR4821953_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4821953/ERR4821953_1.fastq.gz	98ccd37397555b482f04def971a4457d
ERR4821953	ERR4821953_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4821953/ERR4821953_2.fastq.gz	7b8b7a780126641c0dbe2773d2efb479
ERR2512913	ERR2512913_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2512913/ERR2512913_1.fastq.gz	3f2fb558372857f8f0748516c545d5f9
ERR2512913	ERR2512913_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2512913/ERR2512913_2.fastq.gz	40ca9411817e2d8488a716addbb4cfa0
ERR4831878	ERR4831878_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831878/ERR4831878_1.fastq.gz	720dfdb7802eef509beda25113198387
ERR4831878	ERR4831878_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831878/ERR4831878_2.fastq.gz	46b21127c5865cbd19db40127a210a83
ERR4808873	ERR4808873_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_1.fastq.gz	2be013c747ebf8a62605e3205c51a20b
ERR4808873	ERR4808873_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_2.fastq.gz	1218f4aeef95a597f3e46b067c770a73
ERR4809179	ERR4809179_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4809179/ERR4809179_1.fastq.gz	362ddfc65014bfa62a31a3e357e5887a
ERR4809179	ERR4809179_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4809179/ERR4809179_2.fastq.gz	40c3860c63a5c99fb1d5c01833301765
ERR8975061	ERR8975061_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975061/ERR8975061_1.fastq.gz	2b759fbf7f60434bbf3d8bdc2213f730
ERR8975061	ERR8975061_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975061/ERR8975061_2.fastq.gz	a584cc4bde2feac9ebed4ebef405c64f
ERR8975559	ERR8975559_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/009/ERR8975559/ERR8975559_1.fastq.gz	ae11b9ac5469ec8cffcc969c92f352a7
ERR8975559	ERR8975559_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/009/ERR8975559/ERR8975559_2.fastq.gz	9de7a2e9891fdac25d52c06be211e645
ERR5918134	ERR5918134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5918134/ERR5918134_1.fastq.gz	1410822f9b694b830417ae85d107c4c2
ERR5918134	ERR5918134_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5918134/ERR5918134_2.fastq.gz	85850c299c6b130bcc6c2388a7746a7f
ERR9125253	ERR9125253_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/003/ERR9125253/ERR9125253_1.fastq.gz	6399df68373eff0d427137c6eaa228fd
ERR9125253	ERR9125253_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/003/ERR9125253/ERR9125253_2.fastq.gz	2f520aa41b1f4667a2172486ee7b9679
ERR181948	ERR181948_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181948/ERR181948_1.fastq.gz	ba099e4af2a077001f18ab25304c2d4a
ERR181948	ERR181948_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181948/ERR181948_2.fastq.gz	4e4ddc46aaa13b516ee13b8a201ed4a5
ERR190365	ERR190365_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/ERR190365/ERR190365_1.fastq.gz	1b77a240e4761af560c0a091039e33e9
ERR190365	ERR190365_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/ERR190365/ERR190365_2.fastq.gz	4f529cf3e88ac9da7128cbba5909aa93
ERR229953	ERR229953_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/ERR229953/ERR229953_1.fastq.gz	b59119c9dd741000b069687efe64c1f6
ERR229953	ERR229953_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/ERR229953/ERR229953_2.fastq.gz	2d637c40ce0208f1de873da178942d0c
SRR671855	SRR671855_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR671/SRR671855/SRR671855_1.fastq.gz	32c4011419e6c42779bbc285093acfcb
SRR671855	SRR671855_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR671/SRR671855/SRR671855_2.fastq.gz	a71fd2b22c1e1e4ba3ae77cdbbb8adde
SRR2100603	SRR2100603_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/003/SRR2100603/SRR2100603_1.fastq.gz	27b23ec5c57152807acabdd43152c99a
SRR2100603	SRR2100603_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/003/SRR2100603/SRR2100603_2.fastq.gz	63a1868679e0a3543e848248aa969de2
SRR6045767	SRR6045767_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/007/SRR6045767/SRR6045767_1.fastq.gz	9d14bb69950f4a6b436fb05819c2c268
SRR6045767	SRR6045767_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/007/SRR6045767/SRR6045767_2.fastq.gz	5834c7a3b972a0a95683a99811194f31
